layer,snr_digital_db,snr_analog_db,relerr_digital_pct,relerr_analog_pct,cell_utilization_pct,rtl_relerr_pct,weight_scale_min,weight_scale_max,weight_scale_ratio,M,K
layer1.0.conv1,14.70599281911708,12.736410212054832,17.93134308392921,23.41904197255269,37.33995225694444,nan,0.03125,0.5,16.0,576,64
layer1.0.conv2,13.117078582372187,11.9362560231888,22.618911712610092,25.951525078972963,41.06987847222222,nan,0.03125,0.5,16.0,576,64
layer1.1.conv1,14.046078912460537,11.762537219070396,19.410857922300526,26.29337875013282,39.9169921875,nan,0.03125,0.5,16.0,576,64
layer1.1.conv2,12.158522516255168,10.612419299897518,24.45098276652047,29.49326249327262,41.08344184027778,nan,0.03125,0.25,8.0,576,64
layer2.0.conv1,13.27177555272154,10.765785885030187,21.535904227960255,28.852708104909286,42.37467447916667,nan,0.03125,0.25,8.0,576,128
layer2.0.conv2,12.408926986389519,10.487886620323884,23.619007706196065,29.806497122369677,39.26798502604167,nan,0.03125,0.25,8.0,1152,128
layer2.0.downsample.0,8.42586274438254,8.31859910668623,37.37767389242975,37.409547621687636,40.185546875,nan,0.0625,0.25,4.0,64,128
layer2.1.conv1,13.116519437935764,10.678893422009013,21.52321970723586,28.695817694264026,40.008544921875,nan,0.03125,0.25,8.0,1152,128
layer2.1.conv2,12.436723977755754,11.293944870773425,23.735413527034932,27.203703599484204,40.631103515625,nan,0.03125,0.125,4.0,1152,128
layer3.0.conv1,14.041157902725697,11.026138816220135,19.559881832460082,27.91851451473973,41.44931369357639,nan,0.015625,0.125,8.0,1152,256
layer3.0.conv2,12.955878271544732,10.91936463389575,22.382874671037435,28.336778824000405,41.28061930338542,nan,0.015625,0.125,8.0,2304,256
layer3.0.downsample.0,8.768789324714717,8.637573572668659,35.93195160725888,36.790718341531345,39.5538330078125,nan,0.03125,0.25,8.0,128,256
layer3.1.conv1,14.780839726313646,11.502287661608868,17.75583276866506,26.054370748954614,42.04983181423611,nan,0.015625,0.125,8.0,2304,256
layer3.1.conv2,12.40229107219003,10.91271699540899,23.84598473652873,28.391205720136917,41.72041151258681,nan,0.015625,0.0625,4.0,2304,256
layer4.0.conv1,14.421602594535422,11.628389691370806,19.415164292469065,26.64255986961258,41.06385972764757,nan,0.0078125,0.0625,8.0,2304,512
layer4.0.conv2,15.888625718819206,11.175477388675773,15.811475107258495,27.741334421389887,41.90758599175347,nan,0.0078125,0.0625,8.0,4608,512
layer4.0.downsample.0,10.89657512526074,10.11227121178208,28.63883343465786,31.31824376482643,39.72930908203125,nan,0.03125,0.125,4.0,256,512
layer4.1.conv1,15.362068117426578,11.646152415888498,17.363901541888307,26.590802010608908,41.82646009657118,nan,0.0078125,0.0625,8.0,4608,512
layer4.1.conv2,16.576288204263292,12.128331218730455,14.20744001133204,24.28684167924322,42.76869032118056,nan,0.0078125,0.0625,8.0,4608,512
