layer,snr_digital_db,snr_analog_db,relerr_digital_pct,relerr_analog_pct,cell_utilization_pct,rtl_relerr_pct,weight_scale_min,weight_scale_max,weight_scale_ratio,M,K
layer1.0.conv1,11.011868846590529,5.481784874134224,26.084941493273238,53.789652623829944,20.716688368055554,nan,0.0625,0.5,8.0,576,64
layer1.0.conv2,9.288082861741607,5.415164331884354,35.12405375334019,55.348057337579625,23.21234809027778,nan,0.0625,0.5,8.0,576,64
layer1.1.conv1,10.441712563707696,5.873436649400865,29.596641634642253,53.7253574313704,22.07302517361111,nan,0.03125,0.5,16.0,576,64
layer1.1.conv2,10.10364559818709,5.916767670213858,29.86112686763722,51.4114955092219,24.24858940972222,nan,0.03125,0.25,8.0,576,64
layer2.0.conv1,9.895971272534496,4.627713168794653,30.105855533704585,58.72496578290977,26.072862413194443,nan,0.03125,0.25,8.0,576,128
layer2.0.conv2,11.26662550788771,4.513499562939674,26.61068171424215,59.61438985263662,28.148057725694443,nan,0.03125,0.25,8.0,1152,128
layer2.0.downsample.0,6.4985702227405415,6.0866443910580825,45.30878870226984,48.96530954024741,32.80029296875,nan,0.125,0.5,4.0,64,128
layer2.1.conv1,11.054713700705054,4.627746885510151,27.017287115154993,58.92623151295286,29.585774739583332,nan,0.03125,0.125,4.0,1152,128
layer2.1.conv2,10.187816995398368,4.3636309193612295,29.215586725142614,60.16776578058804,30.41449652777778,nan,0.0625,0.125,2.0,1152,128
layer3.0.conv1,10.734347218740494,5.081020988106346,28.55516619781358,55.49125903103799,26.16848415798611,nan,0.03125,0.125,4.0,1152,256
layer3.0.conv2,10.542982610206712,5.018961249345789,29.573629320663013,56.40527274627676,23.98868136935764,nan,0.03125,0.125,4.0,2304,256
layer3.0.downsample.0,7.794451204873826,6.375007583161954,40.833318868139116,47.34946927429952,29.5379638671875,nan,0.0625,0.25,4.0,128,256
layer3.1.conv1,11.350231035972332,4.528501633016692,26.529968719031036,60.244378691972024,24.91641574435764,nan,0.03125,0.125,4.0,2304,256
layer3.1.conv2,9.935018598052933,4.9996063700208655,31.855398622233864,56.70036542631023,28.439161512586807,nan,0.03125,0.125,4.0,2304,256
layer4.0.conv1,12.296527571905497,4.9385672566949275,23.964805131057734,56.636413447759445,25.99555121527778,nan,0.015625,0.0625,4.0,2304,512
layer4.0.conv2,12.811821802053666,4.817464802519277,22.548078258297938,57.98443597060707,23.842239379882812,nan,0.015625,0.0625,4.0,4608,512
layer4.0.downsample.0,8.819558748255545,3.9160236564093798,33.1129575084495,64.62715660276244,31.05010986328125,nan,0.0625,0.25,4.0,256,512
layer4.1.conv1,13.158745568060617,5.3131014077950685,21.664761554423592,54.78079434913985,24.018351236979164,nan,0.015625,0.0625,4.0,4608,512
layer4.1.conv2,12.163879776662656,4.687846866133659,22.502835656980704,58.11875237945093,27.97593010796441,nan,0.015625,0.03125,2.0,4608,512
