checkpoint,block_size,n_images,t_seconds,t_label,acc_ideal,raw,stale,recalib,stale_cost,recalib_cost,refresh_value
qat_b32.pth,32,10000,1.0,1s,92.42,79.06,92.31,92.15,-0.11,-0.27,-0.16
qat_b32.pth,32,10000,3600.0,1h,92.42,46.23,88.81,91.98,-3.61,-0.44,3.17
qat_b32.pth,32,10000,86400.0,1d,92.42,31.45,84.22,91.92,-8.2,-0.5,7.7
qat_b32.pth,32,10000,2592000.0,1mo,92.42,19.05,74.94,91.89,-17.48,-0.53,16.95
qat_b32.pth,32,10000,31536000.0,1y,92.42,13.97,65.17,91.87,-27.25,-0.55,26.7
qat_b64.pth,64,10000,1.0,1s,92.47,59.04,92.36,92.21,-0.11,-0.26,-0.15
qat_b64.pth,64,10000,3600.0,1h,92.47,28.68,89.38,92.05,-3.09,-0.42,2.67
qat_b64.pth,64,10000,86400.0,1d,92.47,21.19,85.83,91.99,-6.64,-0.48,6.16
qat_b64.pth,64,10000,2592000.0,1mo,92.47,15.22,79.14,91.98,-13.33,-0.49,12.84
qat_b64.pth,64,10000,31536000.0,1y,92.47,12.53,70.97,91.92,-21.5,-0.55,20.95
qat_b128.pth,128,10000,1.0,1s,92.81,11.85,92.66,92.45,-0.15,-0.36,-0.21
qat_b128.pth,128,10000,3600.0,1h,92.81,10.04,89.63,92.3,-3.18,-0.51,2.67
qat_b128.pth,128,10000,86400.0,1d,92.81,10.02,86.25,92.24,-6.56,-0.57,5.99
qat_b128.pth,128,10000,2592000.0,1mo,92.81,10.0,79.48,92.13,-13.33,-0.68,12.65
qat_b128.pth,128,10000,31536000.0,1y,92.81,10.0,72.21,92.04,-20.6,-0.77,19.83
qat_b256.pth,256,10000,1.0,1s,92.43,10.0,92.28,92.06,-0.15,-0.37,-0.22
qat_b256.pth,256,10000,3600.0,1h,92.43,10.0,90.18,91.84,-2.25,-0.59,1.66
qat_b256.pth,256,10000,86400.0,1d,92.43,10.0,88.08,91.85,-4.35,-0.58,3.77
qat_b256.pth,256,10000,2592000.0,1mo,92.43,10.0,84.67,91.78,-7.76,-0.65,7.11
qat_b256.pth,256,10000,31536000.0,1y,92.43,10.0,80.56,91.73,-11.87,-0.7,11.17
