layer,tiles_simulated,rel_err_mean_pct,rel_err_max_pct,power_mean_uw,power_max_uw,total_tile_power_mw,macs,pJ_per_mac,sim_seconds
layer1.0.conv1,80,1.774899062532837e-07,2.9481159606363674e-07,163.25653522785848,681.3867059012339,13.060522818228678,1179648,11071.54237385108,55.34842896461487
layer1.0.conv2,80,2.1010173841442237e-07,3.1161973279196957e-07,156.20275846133507,564.377960928026,12.496220676906804,1179648,10593.17752152066,52.8307204246521
layer1.1.conv1,80,1.7285203231248398e-07,2.317777443335093e-07,455.2573442338538,2365.980760266531,36.420587538708304,1179648,30874.11459919256,52.85083365440369
layer1.1.conv2,80,1.7636965335989395e-07,2.47334762598064e-07,103.34672626715518,717.4741871710899,8.267738101372414,1179648,7008.648428490884,53.431533098220825
layer2.0.conv1,160,1.5935014130615158e-07,2.2479627614125973e-07,425.85877905248,2273.8859459751934,68.1374046483968,2359296,28880.39679989149,105.72911262512207
layer2.0.conv2,288,2.4553742040032786e-07,3.399550040062077e-07,115.93099009963451,442.60336608290487,33.38812514869474,4718592,7075.866094948396,209.52978706359863
layer2.0.downsample.0,32,1.660834332142945e-07,2.2913262271142935e-07,298.4220778232766,757.991440352843,9.54950649034485,262144,36428.47629678669,11.500822067260742
layer2.1.conv1,288,1.7114119900806483e-07,2.3167702042175418e-07,312.35180179755844,1343.3618923971592,89.95731891769684,4718592,19064.441027683013,207.78144693374634
layer2.1.conv2,288,2.252402847710018e-07,3.08389574394828e-07,63.69798741674521,286.8781423822074,18.34502037602262,4718592,3887.816614791578,204.5992832183838
layer3.0.conv1,576,1.6547867232114222e-07,2.8125066133436326e-07,418.9613446934834,2107.76990260151,241.32173454344644,9437184,25571.37113607687,409.86886405944824
layer3.0.conv2,1152,2.470151774769194e-07,3.729398575917241e-07,76.94879234985875,352.3615707418568,88.64500878703728,18874368,4696.581564322433,806.1292140483856
layer3.0.downsample.0,64,1.5964625503530425e-07,2.0918983099032197e-07,367.72386244324537,1281.1281962459354,23.534327196367705,1048576,22444.083401076987,44.73664855957031
layer3.1.conv1,1152,2.0251142738338031e-07,3.030723246846054e-07,121.3242324110321,906.3301668524826,139.765515737509,18874368,7405.043482118658,796.9120216369629
layer3.1.conv2,1152,2.1404337082475312e-07,3.342741481487788e-07,37.140816208036064,270.1278121677437,42.78622027165754,18874368,2266.8955205100137,805.5023930072784
layer4.0.conv1,2304,1.9174033634454854e-07,3.114202191341163e-07,255.22456909516347,2987.1559241459536,588.0374071952566,37748736,15577.671453562225,1587.7030010223389
layer4.0.conv2,4608,2.46321233086768e-07,4.1851005649044436e-07,113.0111816769242,688.4431062365721,520.7555251672667,75497472,6897.655131648205,3138.7421221733093
layer4.0.downsample.0,256,1.8677461837704056e-07,2.564622509981622e-07,324.2989746877004,1246.6172961308662,83.0205375200513,4194304,19793.638591778592,174.9864718914032
layer4.1.conv1,4608,1.8441329660450554e-07,3.2877828834788654e-07,294.5352882535144,3345.1338337909706,1357.2186082721942,75497472,17977.007339692038,3145.2244250774384
layer4.1.conv2,4608,2.2142177422830556e-07,3.7174566723108725e-07,79.41097615708725,579.9654280511548,365.92577813185807,75497472,4846.861337712845,3150.0302455425262
