layer,tiles_simulated,rel_err_mean_pct,rel_err_max_pct,power_mean_uw,power_max_uw,total_tile_power_mw,macs,pJ_per_mac,sim_seconds
layer1.0.conv1,288,1.8123653053126204e-07,3.3113285848089726e-07,73.85190235640485,908.5971501784171,21.269347878644595,1179648,18030.24959873165,76.85373544692993
layer1.0.conv2,288,1.7604106434060728e-07,2.534759667076471e-07,51.853543814759696,759.2058440158461,14.933820618650792,1179648,12659.556595400318,58.78731393814087
layer1.1.conv1,288,1.5559011798966883e-07,2.584256809610947e-07,179.62877520395216,2266.585048533436,51.73308725873822,1179648,43854.681446277384,56.77790093421936
layer1.1.conv2,288,1.4386891737940106e-07,2.4569309012415577e-07,31.039164544557543,376.709679363375,8.939279388832572,1179648,7577.921031386118,54.98948836326599
layer2.0.conv1,576,1.3477353435739853e-07,2.2032977525457972e-07,199.93502545594995,1785.7649845843314,115.16257466262716,2359296,48812.26207420653,110.67316269874573
layer2.0.conv2,1152,1.7044723966406108e-07,2.702064440423388e-07,38.69391710725245,533.9557986570819,44.57539250755483,4718592,9446.757106262807,264.9361913204193
layer2.0.downsample.0,64,1.6383611830482785e-07,2.310540729709462e-07,192.75439878802766,687.5096037255798,12.33628152243377,262144,47059.17939160832,11.94542407989502
layer2.1.conv1,1152,1.5211145233952225e-07,2.400380736815161e-07,109.47568369551924,1148.4371519554427,126.11598761723816,4718592,26727.461839726377,207.22639632225037
layer2.1.conv2,1152,1.395004730322587e-07,2.4441498083353205e-07,15.243042146150271,340.8125844718267,17.559984552365112,4718592,3721.4458364624684,233.55748534202576
layer3.0.conv1,2304,1.356430452376623e-07,2.234708537514471e-07,158.14913373146135,1503.4946178983298,364.3756041172869,9437184,38610.628352407555,425.19611501693726
layer3.0.conv2,4608,1.5740486431321858e-07,2.733107765765577e-07,23.154248184386535,314.5847333586654,106.69477563365315,18874368,5652.892623141244,887.5361423492432
layer3.0.downsample.0,256,1.7970409315380395e-07,2.4985680842944354e-07,146.9132961149443,1324.9531770724693,37.60980380542574,1048576,35867.503934312575,47.727702140808105
layer3.1.conv1,4608,1.5399851958821994e-07,2.493053554315463e-07,40.82317976860622,508.7868209872929,188.11321237373744,18874368,9966.596623194877,894.9520709514618
layer3.1.conv2,4608,1.2993057681800727e-07,2.4268848316999503e-07,11.290109215650423,162.20357906551496,52.024823265717146,18874368,2756.374320227154,927.3916001319885
layer4.0.conv1,9216,1.6447197503366607e-07,2.9214891214360533e-07,102.48410452510133,2048.0384004227994,944.4935073033339,37748736,25020.53333132357,1913.599574804306
layer4.0.conv2,18432,1.7607875633266617e-07,3.4129830456793025e-07,42.23326376774623,464.8609962899362,778.4435177670986,75497472,10310.85541204742,4302.198846340179
layer4.0.downsample.0,1024,1.9367611835961268e-07,2.9048212755887216e-07,103.20436114171517,806.4105204168823,105.68126580911633,4194304,25196.377231864055,260.5293116569519
layer4.1.conv1,18432,1.5405594248936655e-07,2.721892922898337e-07,85.09536825648061,1551.8151549326244,1568.4778277034509,75497472,20775.23639074234,4409.8834726810455
layer4.1.conv2,18432,1.4353882020568817e-07,3.235746909410782e-07,23.604618565274954,807.791287620143,435.08032939514794,75497472,5762.8463294128305,4643.740070581436
