epoch,loss,train_acc,test_acc,cell_utilization_pct,quant_residual_pct,lr
1,0.06846020161151886,97.672,90.82,41.85457607723018,50.1237572130087,0.00975528258147578
2,0.06246933617413044,97.886,90.93,41.86210464275881,50.207360547265466,0.009045084971874737
3,0.056411978940963746,98.118,91.17,41.850014125022945,50.296315108603864,0.007938926261462372
4,0.05046038617610931,98.366,91.51,41.847172987793684,50.31797033572267,0.006545084971874744
5,0.03775060408592224,98.842,91.96,41.83773539314886,50.33959407207242,0.005000000000000006
6,0.03242200756430626,99.04,92.05,41.823906135279,50.355008316701074,0.003454915028125266
7,0.025064800162911415,99.33,92.57,41.81646719553047,50.367215825690934,0.002061073738537637
8,0.02033811387360096,99.562,92.68,41.80801548446678,50.37887837963636,0.0009549150281252641
9,0.018175003023296596,99.596,92.7,41.80124873806901,50.38325519452857,0.0002447174185242322
10,0.017763606636226177,99.602,92.77,41.80097986072871,50.382492596199945,0.0
