layer,snr_digital_db,snr_analog_db,relerr_digital_pct,relerr_analog_pct,cell_utilization_pct,rtl_relerr_pct,weight_scale,M,K
conv1,5.697076192642497,6.466244310101185,51.52405462955856,47.020138044870976,36.35204081632653,nan,0.09195274114608765,147,64
layer1.0.conv1,3.8815505702871587,4.783490002878539,66.15800674135438,60.15077861616647,23.80913628472222,nan,0.27512189745903015,576,64
layer1.0.conv2,2.091545017282431,3.0679863940546968,83.61287479112177,74.44205206347593,25.45844184027778,nan,0.26698604226112366,576,64
layer1.1.conv1,4.851175473499647,5.853329340269036,56.57722976979236,50.542057033217894,28.37456597222222,nan,0.25243374705314636,576,64
layer1.1.conv2,4.1254355277630355,4.678387114783432,59.480058014798765,56.6010672717673,26.01996527777778,nan,0.26433321833610535,576,64
layer2.0.conv1,4.96152207819794,5.779981093817279,58.16148459482835,52.98006161520801,25.31467013888889,nan,0.19125854969024658,576,128
layer2.0.conv2,2.6616070335151196,3.2467757555379766,73.1279214912486,68.35914615743839,16.91012912326389,nan,0.22909095883369446,1152,128
layer2.0.downsample.0,4.6836174125847,5.842110634904303,57.50608588449897,51.00775900613738,30.79833984375,nan,0.5059294104576111,64,128
layer2.1.conv1,3.6690949913272863,4.511471322899739,65.27338546871945,58.89344172295542,27.006022135416668,nan,0.18349012732505798,1152,128
layer2.1.conv2,4.548549541116737,5.31925915238296,57.05445990491335,52.151641559067826,23.701985677083336,nan,0.19798055291175842,1152,128
layer3.0.conv1,3.0454862418637725,3.891289442343728,70.8282212429069,64.11296682688683,21.45419650607639,nan,0.14584408700466156,1152,256
layer3.0.conv2,3.2778615615239786,3.99576471758331,66.83305209143674,61.42040661271903,24.73364935980903,nan,0.13620537519454956,2304,256
layer3.0.downsample.0,4.495509443332756,5.563638849260798,61.175431833522644,54.168741735193464,27.740478515625,nan,0.38653579354286194,128,256
layer3.1.conv1,2.9108171246364796,3.793613375491187,71.59955474252902,65.3609500668187,22.07726372612847,nan,0.14453589916229248,2304,256
layer3.1.conv2,3.3115720445854526,4.102731411735176,70.50554507898234,63.81118438078276,23.35018581814236,nan,0.14031405746936798,2304,256
layer4.0.conv1,4.160986839702235,4.949863335595991,63.50541592966997,58.02352900229908,25.494978162977432,nan,0.0949210375547409,2304,512
layer4.0.conv2,3.1352798219368836,3.843020742395872,70.0819879616852,64.60664985265682,21.22980753580729,nan,0.10394664108753204,4608,512
layer4.0.downsample.0,3.608706090557056,4.397862651367215,66.14139208015162,60.19223460757925,26.287841796875,nan,0.28015759587287903,256,512
layer4.1.conv1,2.6202125504524694,3.313088484496536,72.66925631479583,67.36530778440729,21.027713351779514,nan,0.10435159504413605,4608,512
layer4.1.conv2,2.346570890034,2.9125007870059276,75.73719419800554,71.14014021509358,17.076831393771702,nan,0.11415086686611176,4608,512
