layer,snr_digital_db,snr_analog_db,relerr_digital_pct,relerr_analog_pct,cell_utilization_pct,rtl_relerr_pct,weight_scale_min,weight_scale_max,weight_scale_ratio,M,K
conv1,6.449757764465306,7.203450203995114,46.083888986118644,42.17353620989386,46.469907407407405,nan,0.125,1.0,8.0,27,64
layer1.0.conv1,14.609510766333567,12.457922738913537,17.359933774536824,23.659609916132798,37.05512152777778,nan,0.03125,0.5,16.0,576,64
layer1.0.conv2,12.147681749428633,11.778230611666988,23.259164233612914,25.415869040536588,40.95052083333333,nan,0.03125,0.5,16.0,576,64
layer1.1.conv1,13.855153894815825,11.696275458164349,19.744519161078447,26.092773261766254,39.83289930555556,nan,0.03125,0.5,16.0,576,64
layer1.1.conv2,12.872708780211479,11.028038940666775,22.54813758574557,28.058098627767023,41.015625,nan,0.03125,0.25,8.0,576,64
layer2.0.conv1,13.488845618179893,11.089131299341592,21.11577519531606,27.79194774994544,42.45062934027778,nan,0.03125,0.25,8.0,576,128
layer2.0.conv2,12.927524243646943,10.820682163998692,22.20175043951672,28.77540676905173,39.55824110243056,nan,0.03125,0.25,8.0,1152,128
layer2.0.downsample.0,8.46747643843949,8.512979684314558,36.61841298332297,36.57819788023981,40.31982421875,nan,0.0625,0.25,4.0,64,128
layer2.1.conv1,13.180024485991854,10.737059395012555,21.652373075719268,28.243208849863368,40.15367296006944,nan,0.03125,0.25,8.0,1152,128
layer2.1.conv2,12.042915081520267,10.980982639484125,25.330197793073058,28.66173572376381,40.54158528645833,nan,0.03125,0.125,4.0,1152,128
layer3.0.conv1,12.972951416737807,10.629197783493428,22.43731136998251,29.509143236284988,41.16244845920139,nan,0.015625,0.125,8.0,1152,256
layer3.0.conv2,13.647207031199734,11.389208062283931,20.608354876590838,27.22941430751863,41.18821885850694,nan,0.015625,0.125,8.0,2304,256
layer3.0.downsample.0,8.694486884741458,8.57783344342485,36.524766970901084,37.26791775059784,39.215087890625,nan,0.0625,0.25,4.0,128,256
layer3.1.conv1,14.996799658178418,11.33862577714697,17.095132503699865,26.50192420353383,41.98625352647569,nan,0.015625,0.125,8.0,2304,256
layer3.1.conv2,12.714151443379452,10.877914191023342,23.011827102566052,28.791189147628494,42.19428168402778,nan,0.015625,0.0625,4.0,2304,256
layer4.0.conv1,14.305656528030191,11.586471331441668,19.58374079241444,26.428252958821275,40.62669542100694,nan,0.0078125,0.0625,8.0,2304,512
layer4.0.conv2,16.148546800189223,11.489734439883854,15.157941445827172,26.70892697206734,41.708289252387154,nan,0.0078125,0.0625,8.0,4608,512
layer4.0.downsample.0,10.726989789716095,9.951898512333553,29.15044076917692,31.912672831860586,40.401458740234375,nan,0.03125,0.125,4.0,256,512
layer4.1.conv1,15.30541329041058,11.700072598402462,17.702662938941117,26.503146116873065,41.62618849012587,nan,0.0078125,0.0625,8.0,4608,512
layer4.1.conv2,16.780750495614136,12.039920627760676,13.614603110979242,24.33674625796723,43.403540717230904,nan,0.0078125,0.0625,8.0,4608,512
