layer,snr_digital_db,snr_analog_db,relerr_digital_pct,relerr_analog_pct,cell_utilization_pct,rtl_relerr_pct,weight_scale_min,weight_scale_max,weight_scale_ratio,M,K
conv1,6.6047632107192324,7.275602051039533,44.67639406558286,41.879046793554046,47.56944444444444,nan,0.125,1.0,8.0,27,64
layer1.0.conv1,14.611291460354014,12.605163355619029,17.8386353729813,23.442281985547886,37.33995225694444,nan,0.03125,0.5,16.0,576,64
layer1.0.conv2,12.690888394099208,11.942292579741721,23.63490583450259,25.769203451420584,41.06987847222222,nan,0.03125,0.5,16.0,576,64
layer1.1.conv1,13.335353227783981,11.371627043189296,19.835930622966732,26.868491401424247,39.9169921875,nan,0.03125,0.5,16.0,576,64
layer1.1.conv2,12.063897842020339,10.57113097730641,24.62132522503975,29.77085929612488,41.08344184027778,nan,0.03125,0.25,8.0,576,64
layer2.0.conv1,13.497737376446626,10.89789313489625,20.827873649000995,28.427691824850264,42.37467447916667,nan,0.03125,0.25,8.0,576,128
layer2.0.conv2,12.960523046904907,10.822065513054607,22.150575215563137,28.614446988759813,39.26798502604167,nan,0.03125,0.25,8.0,1152,128
layer2.0.downsample.0,8.390884705929555,8.248847493797257,36.92479457279328,37.08623902094822,40.185546875,nan,0.0625,0.25,4.0,64,128
layer2.1.conv1,13.313089657601761,10.815399095250386,21.069201151332305,28.2556149276988,40.008544921875,nan,0.03125,0.25,8.0,1152,128
layer2.1.conv2,12.445379053216147,11.455196462388715,23.739290172111307,26.84118775286784,40.631103515625,nan,0.03125,0.125,4.0,1152,128
layer3.0.conv1,14.070675796125238,11.002698630598244,19.53722431921204,28.167666009458593,41.44931369357639,nan,0.015625,0.125,8.0,1152,256
layer3.0.conv2,12.942959877646542,10.914739676958147,22.346741303996104,28.128170575971126,41.28061930338542,nan,0.015625,0.125,8.0,2304,256
layer3.0.downsample.0,8.593593401572296,8.506955957747714,36.33868174181506,37.21905005713511,39.5538330078125,nan,0.03125,0.25,8.0,128,256
layer3.1.conv1,15.05040220310093,11.62535469695191,17.12863772303957,25.61809173893284,42.04983181423611,nan,0.015625,0.125,8.0,2304,256
layer3.1.conv2,12.537381932495602,10.995565636409895,23.424022256315816,27.86594935188749,41.72041151258681,nan,0.015625,0.0625,4.0,2304,256
layer4.0.conv1,14.602787378169683,11.65509808210275,19.001616166983435,26.55187668558517,41.06385972764757,nan,0.0078125,0.0625,8.0,2304,512
layer4.0.conv2,15.758121853362963,11.151142218091984,15.962698044233539,27.769887466871157,41.90758599175347,nan,0.0078125,0.0625,8.0,4608,512
layer4.0.downsample.0,11.177071171911363,10.286814146767462,27.46722689929955,30.551845948972645,39.72930908203125,nan,0.03125,0.125,4.0,256,512
layer4.1.conv1,15.197764938970998,11.578346155966774,17.614389018094773,26.672343668662695,41.82646009657118,nan,0.0078125,0.0625,8.0,4608,512
layer4.1.conv2,16.364513322944447,11.984423221470395,14.294910647524485,24.596287881275703,42.76869032118056,nan,0.0078125,0.0625,8.0,4608,512
