layer,snr_digital_db,snr_analog_db,relerr_digital_pct,relerr_analog_pct,cell_utilization_pct,rtl_relerr_pct,weight_scale,M,K
conv1,2.8893070084276924,3.288873429651517,75.68479322075342,72.76041121658878,6.685799319727891,nan,1.0164732933044434,147,64
layer1.0.conv1,3.739423061506644,3.8287089739640607,62.31424761049339,61.52960408468218,1.0715060763888888,nan,0.7993080019950867,576,64
layer1.0.conv2,0.6968440858573439,0.7353024300283848,94.85559821113834,94.14074902610619,2.218967013888889,nan,0.48791390657424927,576,64
layer1.1.conv1,2.955594312913777,2.89726269280959,70.61680057605595,70.80315196667185,1.2912326388888888,nan,0.6491185426712036,576,64
layer1.1.conv2,3.6918316393390747,3.6849788084546264,69.83704276873785,69.73787542932862,4.248046875,nan,0.38061150908470154,576,64
layer2.0.conv1,1.2028562757236492,1.5875531507721743,84.53739955944494,81.8057941992193,5.131022135416666,nan,0.34053823351860046,576,128
layer2.0.conv2,1.1253412724054621,1.1779609089862613,87.99776525099148,87.4195882511076,1.3264973958333335,nan,0.4271599352359772,1152,128
layer2.0.downsample.0,2.5205675912409635,2.6322300499139137,79.63028400075183,78.79424205484204,2.50244140625,nan,0.7802272439002991,64,128
layer2.1.conv1,0.6852780473959631,0.6968600692426523,90.24570858466812,90.27742071688212,1.1990017361111112,nan,0.43874824047088623,1152,128
layer2.1.conv2,1.5875123645033686,1.5609018599600373,84.89943932055287,85.2976088216114,1.2464735243055556,nan,0.35565757751464844,1152,128
layer3.0.conv1,1.0393509033726542,1.0250314208414475,91.50503221801723,91.44167622733636,0.8955213758680556,nan,0.39195019006729126,1152,256
layer3.0.conv2,0.6521355313768068,0.6816186995252943,93.1373115659551,92.72971410474543,0.8219401041666666,nan,0.33351418375968933,2304,256
layer3.0.downsample.0,2.6952373897250075,2.8156592237818834,73.94815161689218,72.98382351179117,4.840087890625,nan,0.2676500678062439,128,256
layer3.1.conv1,0.30670073346704063,0.3143898373551212,97.42674822137569,97.20713498511178,0.7759941948784722,nan,0.2960415184497833,2304,256
layer3.1.conv2,1.0466634084973347,1.0273389220517788,92.16371265156866,92.3454338649826,0.30364990234375,nan,0.32954689860343933,2304,256
layer4.0.conv1,-0.04394787080760508,-0.033683817260564325,101.19866291309158,101.0305739921669,0.08968777126736112,nan,0.38262122869491577,2304,512
layer4.0.conv2,0.012228862389024382,0.013593174000082316,100.25605145617455,100.24466240251952,0.059043036566840276,nan,0.3487204611301422,4608,512
layer4.0.downsample.0,0.1758201033680572,0.18521790766241253,97.89373081271809,97.77112343321122,0.087738037109375,nan,0.7471701502799988,256,512
layer4.1.conv1,0.04168247853404851,0.042358120191629024,99.73995901316525,99.74169444669417,0.1724667019314236,nan,0.26581713557243347,4608,512
layer4.1.conv2,-0.1968725546397321,-0.1463349048691062,102.76137245971714,102.13239450115061,0.07336934407552084,nan,0.2717711329460144,4608,512
