layer,snr_digital_db,snr_analog_db,relerr_digital_pct,relerr_analog_pct,cell_utilization_pct,rtl_relerr_pct,weight_scale_min,weight_scale_max,weight_scale_ratio,M,K
conv1,6.800741466316806,7.213255000294732,44.80449253363628,43.38097268308966,36.35204081632653,nan,1.2552678008148632e-08,1.0164732933044434,80976608.0,147,64
layer1.0.conv1,5.889984512384576,7.276721404243773,52.46623425469217,42.63977744060608,8.485243055555555,nan,0.17607517540454865,0.7993080019950867,4.539583683013916,576,64
layer1.0.conv2,6.704405639855628,6.57565348139714,47.08210616289486,46.18073015886136,17.171223958333336,nan,0.09194111824035645,0.48791390657424927,5.3068084716796875,576,64
layer1.1.conv1,7.743616748779719,7.808867200006428,40.84227212461889,40.44868541119035,14.860026041666666,nan,0.12678655982017517,0.6491185426712036,5.119773864746094,576,64
layer1.1.conv2,6.977944288388336,7.1184788717835135,46.90809759435206,46.55289757360514,20.4833984375,nan,0.10422854870557785,0.38061150908470154,3.6517012119293213,576,64
layer2.0.conv1,4.4901632695653095,4.921286225860651,56.98484932409544,54.31057965003652,17.3583984375,nan,0.1239272877573967,0.34053823351860046,2.747887372970581,576,128
layer2.0.conv2,5.101532589743996,5.285623245899561,55.10792735802076,54.1123067567306,12.645128038194445,nan,0.10581649839878082,0.4271599352359772,4.03679895401001,1152,128
layer2.0.downsample.0,6.2711290141019855,6.826075675730028,47.78111310715634,43.49572540670391,29.00390625,nan,0.04159324988722801,0.7802272439002991,18.758506774902344,64,128
layer2.1.conv1,4.7158378916842665,4.569148561766002,56.193698920166014,57.12848448021262,12.58205837673611,nan,0.10039649903774261,0.43874824047088623,4.370154857635498,1152,128
layer2.1.conv2,7.647004792349503,7.569124634321121,42.173812860697254,42.6388915367473,19.264729817708336,nan,0.0746370255947113,0.35565757751464844,4.765162944793701,1152,128
layer3.0.conv1,7.786654212337936,7.2032288125080015,39.1023602286651,43.42463594512757,15.28286404079861,nan,0.08946912735700607,0.39195019006729126,4.380842685699463,1152,256
layer3.0.conv2,5.881266104342271,5.804171045255959,47.92471315822398,49.17605076438198,12.542555067274305,nan,0.08061511814594269,0.33351418375968933,4.1371169090271,2304,256
layer3.0.downsample.0,7.659924334919465,7.989383667400817,40.386154854513364,39.14219297491626,28.79638671875,nan,0.05047185719013214,0.2676500678062439,5.302956581115723,128,256
layer3.1.conv1,6.2546995959971525,5.726546735784094,45.707583042104126,50.19372571855615,14.618428548177084,nan,0.07266872376203537,0.2960415184497833,4.073850631713867,2304,256
layer3.1.conv2,7.058477849578669,6.735729453404165,43.17632873255563,45.42965680888075,19.744703504774304,nan,0.039188191294670105,0.32954689860343933,8.409341812133789,2304,256
layer4.0.conv1,8.134899388478132,7.325137891804072,35.20902554493383,40.88063046987582,19.03355916341146,nan,0.06370259076356888,0.38262122869491577,6.006368637084961,2304,512
layer4.0.conv2,5.673628909531725,5.343623454605786,47.92237138639083,50.763950174415534,15.079032050238716,nan,0.0559384822845459,0.3487204611301422,6.233999252319336,4608,512
layer4.0.downsample.0,6.548699848979852,6.829139078474759,44.67518924719398,43.194544165623064,27.811431884765625,nan,0.03218890354037285,0.7471701502799988,23.2120418548584,256,512
layer4.1.conv1,9.866193584048858,8.39284967378678,25.93279753022441,34.214964136724134,20.579486423068577,nan,0.05374708026647568,0.26581713557243347,4.945703506469727,4608,512
layer4.1.conv2,1.633283528108977,2.1733108451629652,75.58626356636424,71.98924960302229,15.298334757486979,nan,0.048467159271240234,0.2717711329460144,5.607325553894043,4608,512
