layer,snr_digital_db,snr_analog_db,relerr_digital_pct,relerr_analog_pct,cell_utilization_pct,rtl_relerr_pct,weight_scale_min,weight_scale_max,weight_scale_ratio,M,K
conv1,10.672484818510362,10.548754711215423,30.094922804805027,30.681634258939653,58.333333333333336,nan,0.08366350084543228,0.7381446361541748,8.822779691204792,27,64
layer1.0.conv1,16.934888720365347,13.003592325683538,13.887654257958514,24.060877821643373,50.968424479166664,nan,0.02166670747101307,0.526646614074707,24.30672102714657,576,64
layer1.0.conv2,16.56509552650514,12.64011880109724,14.658912915270978,23.867198226859383,55.807834201388886,nan,0.023967739194631577,0.24132126569747925,10.068586934204111,576,64
layer1.1.conv1,17.673915852373057,12.239079535767969,12.80499384004595,25.1908088461715,55.18934461805556,nan,0.022848108783364296,0.25819313526153564,11.300416052357297,576,64
layer1.1.conv2,15.80295374841658,11.49764870405396,16.553761199155005,26.76632191284313,56.50499131944444,nan,0.021601973101496696,0.1504228711128235,6.96338572435318,576,64
layer2.0.conv1,16.346677217756845,11.01421024058949,15.356020538740243,28.098638270672822,56.949869791666664,nan,0.016686923801898956,0.11658593267202377,6.986664172263818,576,128
layer2.0.conv2,16.376291729036648,11.281146732013108,14.910513822346982,27.1468250175607,55.875651041666664,nan,0.017937682569026947,0.12200173735618591,6.801421359013605,1152,128
layer2.0.downsample.0,10.63985376904677,9.72492012357218,28.425073763726136,32.2052245685563,56.9580078125,nan,0.06802915036678314,0.3399616479873657,4.997293750611945,64,128
layer2.1.conv1,16.624348627035786,10.820202498804532,14.66886463568662,28.933383279405966,56.559244791666664,nan,0.014146089553833008,0.1352391391992569,9.560178357743583,1152,128
layer2.1.conv2,15.973391660011476,10.885322961385967,15.880311820532436,28.584673521235892,57.32286241319444,nan,0.017096223309636116,0.09378190338611603,5.485533365328516,1152,128
layer3.0.conv1,17.938838378140414,10.866227744479849,12.339657793697194,28.36821743531209,57.22283257378472,nan,0.01078000944107771,0.0905793234705925,8.402527285870077,1152,256
layer3.0.conv2,16.971500267611315,11.479750782980808,14.121098545406706,26.65750708164947,55.96449110243056,nan,0.011306317523121834,0.08691305667161942,7.687123282525811,2304,256
layer3.0.downsample.0,12.656208613422194,10.221501527606836,22.758358710738513,30.568229667021487,56.9122314453125,nan,0.035290125757455826,0.12755917012691498,3.614585309318861,128,256
layer3.1.conv1,17.435711181133303,10.733507963425208,13.27266227062357,29.25687061991909,56.57518174913194,nan,0.010318703949451447,0.08488819748163223,8.226633683597926,2304,256
layer3.1.conv2,16.160526297210545,10.688638134519866,15.491896669218807,29.067310416538398,56.739298502604164,nan,0.010161181911826134,0.06855741143226624,6.746991838860341,2304,256
layer4.0.conv1,17.404458346917327,11.510334541472393,13.335373820233198,26.74718037544785,56.285434299045136,nan,0.006240238435566425,0.05293477699160576,8.4828132030825,2304,512
layer4.0.conv2,20.147210736276676,11.264974385473046,9.4823919250483,27.51743343022466,55.8250003390842,nan,0.005079611204564571,0.04397691786289215,8.657536195560441,4608,512
layer4.0.downsample.0,14.98016390072298,10.514983914263144,17.034404879796405,29.76335900430222,55.81512451171875,nan,0.02058991603553295,0.10299009829759598,5.001967862319657,256,512
layer4.1.conv1,19.27623399492744,11.332738263515427,10.784015052918873,27.079717884701616,55.82873026529948,nan,0.005798674188554287,0.043853066861629486,7.562602318334916,4608,512
layer4.1.conv2,20.164797070853545,11.542855243788406,9.195383296949778,26.42248700393413,56.50850931803385,nan,0.004965012893080711,0.036653175950050354,7.382292199307391,4608,512
