block_size,sigma,raw,raw_sd,blind,blind_sd,wverify,wverify_sd
32,0.0,79.06999999999998,1.4210854715202004e-14,92.41,0.0,92.41,
32,0.05,79.301,0.5057360971890394,92.309,0.08466994744299879,92.301,0.09596353474106645
32,0.1,79.954,0.9443431579674841,92.18199999999999,0.08953211714240067,92.19299999999998,0.13520724832641257
32,0.2,82.174,1.8083262979893875,91.506,0.18863721796082555,91.359,0.246107700001444
64,0.0,57.739999999999995,7.105427357601002e-15,92.27,0.0,92.27,
64,0.05,58.227999999999994,0.6925286997662982,92.16600000000001,0.11083320801997855,92.15,0.13266499161421552
64,0.1,59.571000000000005,1.2667474097072384,92.11800000000001,0.19244739540975758,92.046,0.1297073629367269
64,0.2,63.654999999999994,2.307800901291096,91.4,0.21246176126540975,91.186,0.21157504578754027
128,0.0,11.61,0.0,92.43000000000002,1.4210854715202004e-14,92.43000000000002,
128,0.05,11.605,0.17013230145977576,92.45899999999999,0.0984327181378196,92.446,0.08754427451295455
128,0.1,11.855,0.415072282861672,92.329,0.16507271125174106,92.304,0.18429324458590554
128,0.2,13.203000000000003,1.2464272943096202,91.626,0.22499777776680346,91.268,0.32297987553406243
256,0.0,10.0,0.0,92.01,0.0,92.01,
256,0.05,10.004999999999999,0.006708203932499226,92.092,0.0900888450364435,92.083,0.1115392307665783
256,0.1,10.025,0.028372521918222236,91.98599999999999,0.16499696966914404,91.91600000000001,0.18515939079614543
256,0.2,10.151,0.14313979181206044,91.27099999999999,0.32082549773981284,90.929,0.379669593199137
