case,r_wl,r_drv,r_bl,raw_pct,col_calib_pct
ideal wires (sanity check),0.0,0.0,0.0,71.30901710167637,0.00022112952947693368
wordline metal 0.1 ohm,0.1,0.0,0.0,71.40527601501117,0.3729845950771369
wordline metal 0.5 ohm,0.5,0.0,0.0,71.78007415619136,1.8209002698627161
wordline metal 1.0 ohm,1.0,0.0,0.0,72.2362982123793,3.5395656524102805
wordline driver 25 ohm,0.0,25.0,0.0,75.28796672361928,14.954645943394043
wordline driver 50 ohm,0.0,50.0,0.0,78.29785866662911,25.36557037723451
wordline driver 100 ohm,0.0,100.0,0.0,82.44181727444997,39.317786027386816
bitline metal 0.1 ohm,0.0,0.0,0.1,76.01915982338399,17.327489094536382
bitline metal 0.5 ohm,0.0,0.0,0.5,84.82481454945798,49.0604836495378
bitline metal 1.0 ohm,0.0,0.0,1.0,89.11351497982709,63.98535642020391
"all three, mid values",0.5,50.0,0.5,88.16744285742874,56.43179851997539
